kategori,digit,kode,judul,deskripsi
A,5,01121,Pertanian Padi Hibrida,"Kelompok ini mencakup usaha pertanian padi hibrida mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi hibrida. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot. Contohnya: Bernas Super, Bernas Prima, Sembada B3, SL 11 SHS. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida. "
A,5,01122,Pertanian Padi Inbrida,"Kelompok ini mencakup usaha pertanian inbrida (bukan hibrida) mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi in hibrida. Padi in hibrida adalah padi yang produksi benihnya dilakukan melalui penyerbukan sendiri atau terjadi secara alami. Terdiri dari Padi varietas Unggul Non Hibrida seperti Memberamo, Menkongga, Ciherang, IR-6, Inpari, Inpara, Inpago dan Padi Varietas Lokas yang telah ada dan dibudidayakan secara turun temurun oleh petani. "
A,4,0113,"Pertanian sayuran, buah dan aneka umbi","Subgolongan ini mencakup :  
- Pertanian hortikultura sayuran seperti asparagus, kol, kembang kol dan brokoli, selada dan chicory, bayam, tumbuhan yang bunganya dimakan sebagai sayur, dan sayuran daun dan batang lainnya  
- 	Pertanian hortikultura buah, seperti semangka, blewah, labu buah, melon dan sejenisnya  
- Pertanian aneka umbi hortikultura, seperti kentang, kentang manis, wortel, lobak cina, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya   
- Perrtanian tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong, irut, gembili dan tanaman aneka umbi palawija lainnya  
- Pertanian buah yang dipakai sebagai sayuran, seperti mentimun, terung, tomat, belimbing sayur dan labu sayur dan lainnya   
- 	Pertanian jamur dan truffle 
- Pertanian bibit sayuran, kecuali bibit tanaman bit
- 	Pertanian bit gula
- Pertanian sayuran lainnya
 
Subgolongan ini tidak mencakup :  
- 	Pertanian spawn jamur, lihat 0130  
- Pertanian cabai dan merica (capsicum spp) dan tanaman bumbu lainnnya, lihat 0128"
A,5,01131,Pertanian Hortikultura Sayuran Daun,"Kelompok ini mencakup usaha pertanian hortikultura dan sayuran daun mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura sayuran yang dipanen sekali, seperti petsai/sawi, asparagus, kubis/kol, kembang kol dan brokoli, selada dan seledri/chicory, daun bawang, bayam, kangkung, tumbuhan yang bunganya dimakan sebagai sayur dan sayuran daun dan batang lainnya. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran daun."
A,5,01132,Pertanian Hortikultura Buah,"Kelompok ini mencakup usaha pertanian hortikultura buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah, seperti semangka, belewah, melon, timun suri dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura buah."
A,5,01133,Pertanian Hortikultura Sayuran Buah,"Kelompok ini mencakup usaha pertanian hortikultura sayuran buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah yang dipakai sebagai sayuran (labu), seperti mentimun, terung, tomat, belimbing sayur dan labu sayur (siam), waluh/labu kuning, gambas/oyong dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran buah."
A,5,01134,Pertanian Hortikultura Sayuran Umbi,"Kelompok ini mencakup usaha pertanian hortikultura sayuran umbi mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman umbi-umbian hortikultura, seperti kentang, kentang manis, wortel, lobak cina, rebung, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran umbi."
A,5,01135,Pertanian Aneka Umbi Palawija,"Kelompok ini mencakup usaha pertanian aneka umbi palawija mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong dan irut, gembili dan tanaman palawija, iles-iles, porang dan umbi-umbian palawija lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka umbi palawija."
A,5,01136,Pertanian Jamur,"Kelompok ini mencakup usaha pertanian jamur mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jamur dan truffle, seperti jamur merang, jamur tiram, jamur shitake, jamur kuping dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman jamur."
A,5,01137,Pertanian Bit Gula Dan Tanaman Pemanis Bukan Tebu,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman bit gula dan tanaman pemanis lainnya bukan tebu, seperti stevia dan sorgum manis. Termasuk kegiatan pembibitan dan pembenihan tanaman bit gula dan tanaman pemanis bukan tebu."
A,5,01139,"Pertanian Sayuran, Buah dan Aneka Umbi Lainnya","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman sayuran, buah dan aneka umbi lainnya yang dipanen lebih dari sekali; dan pertanian sayuran lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman sayuran lainnya, kecuali bibit tanaman bit. "
A,4,0114,Perkebunan tebu,"Subgolongan ini mencakup :  
- 	Perkebunan tebu   

Subgolongan ini tidak mencakup :  
- 	Pertanian bit gula, lihat 0113"
A,5,01140,Perkebunan Tebu,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tebu. Termasuk kegiatan pembibitan dan pembenihan tebu."
A,4,0115,Perkebunan tembakau,"Subgolongan ini mencakup :  
-	Perkebunan tembakau (bukan industri), termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya"
A,5,01150,Perkebunan Tembakau,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tembakau. Termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya. Kegiatan pembibitan dan pembenihan tanaman tembakau juga tercakup dalam kelompok ini."
A,4,0116,Pertanian tanaman berserat,"Subgolongan ini mencakup :  
- 	Pertanian kapas
- 	Pertanian yute, kenaf
- 	Pertanian batang lenan dan rami
- 	Pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave  
- 	Pertanian abaca, rami dan tanaman bahan baku tekstil lainnya
- 	Pertanian tanaman serat lainnya"
A,5,01160,Pertanian Tanaman Berserat,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan jika menjadi satu kesatuan kegiatan tanaman  berserat sebagai bahan baku tekstil, seperti kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf, pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave dan pertanian tanaman serat lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman berserat."
A,4,0119,Pertanian tanaman semusim lainnya,"Subgolongan ini mencakup pertanian tanaman semusim yang lain :  
- 	Pertanian sewede, mangold, akar-akaran untuk makanan hewan, semanggi, alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya, makanan ternak dan sejenisnya  
- 	Pembibitan bit (tidak termasuk bit gula) dan bibit tanaman untuk makanan ternak   
- 	Pertanian bunga, termasuk produksi bunga potong dan kuncup bunga
- 	Pembibitan bunga  

Sub golongan ini tidak mencakup :  
- 	Pertanian tanaman semusim, seperti tanaman rempah-rempah, aromatik, narkotika dan tanaman obat-obatan, lihat 0128"
A,5,01191,Pertanian Tanaman Pakan Ternak,"Kelompok ini mencakup bidang usaha produksi  hijauan pakan ternak mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pasca panen. Meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
A,5,01192,Perbenihan Tanaman Pakan Ternak dan Pembibitan Bit (Bukan Bit Gula),"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan dan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pengolahan pascapanen, perbenihan tanaman pakan ternak dan pembibitan bit (bukan bit gula). Perbenihan tanaman pakan ternak meliputi rumput pakan ternak dan leguminosa/kacang-kacangan tanaman pakan ternak seperti Rumput Gajah, Rumput Raja, Rumput Odot, Rumput Setaria, Alfalfa, Kaliandra, Gamal, Lamtoro, Indigofera Zollingeriana dll."
A,5,01193,Pertanian Tanaman Bunga,"Kelompok  ini mencakup pertanian tanaman bunga, yang produksinya adalah bunga potong dan kuncup bunga. Tanaman bunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuk tanaman bunga lainnya yang diambil bunganya. Pertanian tanaman bunga yang hasilnya adalah tanaman bunga hidup masuk ke golongan 013."
A,5,01194,Pertanian Pembibitan Tanaman Bunga,Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga.
A,5,01199,Pertanian tanaman semusim lainnya ytdl,Kelompok ini mencakup pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan pembibitannya.
A,3,012,Pertanian tanaman tahunan,"Golongan ini mencakup penanaman tanaman yang berlangsung lebih dari dua musim tanam, baik tanaman yang setiap musim mati atau tanaman yang tumbuh terus menerus. Termasuk penanaman tanaman untuk keperluan pembibitan dan pembenihan. Golongan ini juga mencakup kegiatan penanaman tanaman ini di area atau lokasi hutan."
A,4,0121,Pertanian Buah Anggur,"Subgolongan ini mencakup : 
- 	Pertanian buah anggur untuk bahan minuman (wine) dan buah anggur di kebun anggur    

Subgolongan ini tidak mencakup : 
- 	Industri minuman anggur (wine), lihat 1102"
A,5,01210,Pertanian Buah Anggur,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah anggur. Termasuk kegiatan pembibitan dan pembenihan tanaman buah anggur."
A,4,0122,Pertanian Buah-Buahan Tropis dan Subtropis,"Subgolongan ini mencakup :  
- Pertanian buah tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, mangga, pepaya, nanas dan buah tropis dan subtropis lainnya"
A,5,01220,Pertanian Buah-Buahan Tropis dan Subtropis,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah-buahan tropis dan subtropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas, mangga, manggis, sawo, belimbing, salak, sirsak, buah naga dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buat tropis dan subtropis."
A,4,0123,Pertanian Buah Jeruk,"Subgolongan ini mencakup :  
- 	Pertanian buah jeruk, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, tangerin, mandarin dan clementine, dan buah jeruk lainnya"
A,5,01230,Pertanian Buah Jeruk,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan clementine, dan buah jeruk lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah jeruk."
A,4,0124,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),"Subgolongan ini mencakup :  
- 	Pertanian buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa dan buah delima, dan buah batu lainnya"
A,5,01240,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa, kepel, terong Belanda dan buah delima, dan buah batu lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah apel dan buah batu."
A,4,0125,Pertanian Sayuran dan Buah Semak dan Buah Biji Kacang-Kacangan Lainnya,"Subgolongan ini mencakup :	
- 	Pertanian buah beri, seperti blueberry, kismis, gooseberry, kiwi, raspberry, strawberry dan beri lainnya 
- Pembibitan buah  
- 	Pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan  kacang-kacangan yang lain  
- 	Pertanian pohon dan tanaman buah semak lainnya
- 	Locust beans  

Subgolongan ini tidak mencakup :  
- 	Perkebunan kelapa, lihat 0126"
A,5,01251,Pertanian Buah Beri,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen buah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan beri lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah beri."
A,5,01252,Pertanian Buah Biji Kacang-Kacangan,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman buah biji kacang-kacangan  yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang-kacangan yang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah biji kacang-kacangan."
A,5,01253,Pertanian Sayuran Tahunan,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman sayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol, melinjo dan sejenisnya. Kegiatan pembibitan dan pembenihan tanaman sayuran tahunan."
A,5,01259,Pertanian Buah Semak Lainnya,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah semak lainnya, termasuk locust beans. Termasuk kegiatan pembibitan dan pembenihan tanaman buah semak lainnya."
A,4,0126,Perkebunan buah-buahan penghasil minyak (oleaginous),"Subgolongan ini mencakup :  
- Perkebunan buah oleaginous, seperti kelapa, buah zaitun, kelapa sawit dan buah oleaginous lain    

Subgolongan ini tidak mencakup :  
- Pertanian kedelai, kacang tanah, dan biji penghasil minyak lainnya, lihat 0111"
A,5,01261,Perkebunan Buah Kelapa,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa."
A,5,01262,Perkebunan Buah Kelapa Sawit,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa sawit. Termasuk kegiatan pembibitan dan pembenihan tanaman buah kelapa sawit."
A,5,01269,Perkebunan Buah Oleaginous Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman buah oleaginous lain, seperti buah zaitun dan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman buah oleoginous lainnya."
A,4,0127,Pertanian Tanaman Untuk Bahan Minuman,"Subgolongan ini mencakup :  
- 	Pertanian tanaman untuk bahan minuman, seperti kopi, teh, mate, kakao dan tanaman untuk bahan minuman lainnya"
A,5,01270,Pertanian Tanaman Untuk Bahan Minuman,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao. Termasuk kegiatan pembibitan dan pembenihan tanaman untuk bahan minuman."
A,4,0128,"Perkebunan tanaman rempah-rempah, aromatik/penyegar, narkotik dan obat","Subgolongan ini mencakup :  
- 	Perkebunan tanaman rempah-rempah dan aromatik semusim dan tahunan, seperti merica atau lada (piper spp), cabe (capsicum spp), pala, bunga pala dan kapulaga, minyak adas manis, badian dan adas, kayu manis (canella), cengkeh, jahe, vanilla dan tanaman rempah dan aromatik lainnya  
- 	Perkebunan tanaman obat dan narkotika
- 	Perkebunan tanaman yang digunakan untuk parfum, keperluan kedokteran/farmasi atau untuk insektisida, fungisida dan sejenisnya"
A,5,01281,Perkebunan Lada,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan lada atau merica (piper spp). Termasuk kegiatan pembibitan dan pembenihan tanaman lada."
A,5,01282,Perkebunan Cengkeh,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan cengkeh. Termasuk kegiatan pembibitan dan pembenihan tanaman cengkeh."
A,5,01283,Pertanian Cabai,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, pemanenan dan pasca panen sayuran cabai (capsicum spp), seperti cabai besar, cabai rawit dan paprika. Termasuk kegiatan pembibitan dan pembenihan tanaman cabai."
A,5,01284,Perkebunan Tanaman Aromatik/Penyegar,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman perkebunan minyak atsiri, seperti sereh wangi, nilam, menthol, kenanga, ilang-ilang, gandapura, lawang. Termasuk kegiatan pembibitan dan pembenihan tanaman aromatik/penyegar."
A,5,01285,Pertanian Tanaman Obat atau Biofarmaka Rimpang,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti jahe, kunyit, temulawak, temugiring, temuireng, temukunci, kencur, lengkuas, lempuyang, dlingo dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka rimpang."
A,5,01286,Pertanian Tanaman Obat atau Biofarmaka Non Rimpang,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat atau biofarmaka non rimpang (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis), seperti kina, adas, kapulaga, orang-aring, iles-iles, pinang, gambir, lidah buaya, kejibeling, sambiloto, kumis kucing, mengkudu atau pace, mahkota dewa dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman obat atau biofarmaka non rimpang."
A,5,01287,Pertanian Tanaman Narkotika dan Tanaman Obat Terlarang,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman narkotika dan tanaman obat terlarang."
A,5,01289,"Pertanian Tanaman Rempah-Rempah, Aromatik/Penyegar, dan Obat Lainnya","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman rempah lainnya, seperti kemiri, panili, kayu manis dan pala. Termasuk kegiatan pembibitan dan pembenihannya."
A,4,0129,Perkebunan tanaman tahunan lainnya,"Subgolongan ini mencakup :  
- 	Perkebunan pohon karet 
- 	Perkebunan pohon cemara
- 	Perkebunan pohon penghasil getah  

Subgolongan ini tidak mencakup :  
- 	Pengumpulan getah pohon atau getah karet liar, lihat 0230"
